section,nom,type,debut,fin,dg,dt,cs,municipalite
19820000,Route 198,Route,5 ième rue,Boul. York ouest,53.0,63.0,7.0,Gaspé
26562500,route 265,Route,à l'intersection nord de la route 116,route 218,53.0,64.0,7.0,Plessisville
20435000,route 204,Route,à l'intersection nord de la route 277,Sainte-Justine,53.0,66.0,11.0,Sainte-Justine
13238000,route 132,Route,route 171,boul. Méthot,53.0,66.0,10.0,Lévis
64085001,00640-03-024-33C0,Bretelle,Mtée Lesage,A-640 Est,56.0,29.0,2.0,Blainville
19960000,,Route,chemin Errol,chemin Head,53.0,63.0,6.0,Les Îles-de-la-Madeleine
8594101000,PREMIER RANG NORD (RTE ST-JULES),Route,rang Sainte-Caroline,route Séraphin-Gilbert,53.0,66.0,6.0,Saint-Victor
35208000,Route Bradley,Route,"autoroute 40, sortie 210",Saint-Maurice,53.0,70.0,7.0,Trois-Rivières
6131110000,MONTÉE DES IRLANDAIS,Route,Route 203,chemin Rivière-des-Anglais,53.0,86.0,13.0,Très-Saint-Sacrement
44022804,00440-01-152-33D0,Bretelle,Intersection A-440 Ouest,Intersection centre Rte 61290 (mun),56.0,29.0,2.0,Laval
21619000,route 216,Route,rue Phaneuf,chemin du 8e rang,53.0,90.0,9.0,Stoke
7332500,autoroute 73 de la Beauce,Route,rue Carter,rue Cameron,53.0,66.0,6.0,Sainte-Marie
16109910,Bretelle bidirectionnelle D (rue J.-M.-Tardif /  Villeneuve,Bretelle,Fin des chaussées séparées,Intersection de la rue Villeneuve,53.0,90.0,6.0,Lac-Mégantic
3386001000,33860-04-020-000C,Route,centre édifice municipal,route 125,53.0,88.0,6.0,Entrelacs
3757001000,,Route,route 350,chemin de la Robine (37542),53.0,70.0,7.0,Saint-Paulin
9397001500,Route de la Station,Route,Intersection 3è Rang ou rue Principale,Milieu du viaduc de l'A-20 (Limite municipale de Saint-Jean-Baptiste-de-l'Isle-Verte / Saint-Éloi),53.0,65.0,8.0,Saint-Éloi
73003010,00730-01-010-31A0,Bretelle,Autoroute 730 nord,Montée Saint-Régis,56.0,29.0,2.0,Saint-Constant
13865100,RTE 138,Route,Centre de ski 'Le Massif',"côte de la Martine (43610), à la Petite Rivière Saint-François",53.0,71.0,85.0,Petite-Rivière-Saint-François
36030000,AVENUE ROYALE,L,Côte Dufournel,rue du Petit-Pré,53.0,71.0,84.0,L'Ange-Gardien
13871500,"RTE 138, RUE ST-LAURENT",Route,chemin Saint-Paul (Saint-Fidèle),route 170,53.0,71.0,85.0,Saint-Siméon
15926000,route 159,Route,Grand Rang,rue le Bourdais,53.0,70.0,6.0,Saint-Tite
4033503,00040-05-111-31C0,Bretelle,SUR LA LIGNE DE CENTRE DE A-55 VOIE NORD.,SUR LA LIGNE DE CENTRE DE LA 40 VOIE EST,53.0,70.0,7.0,Trois-Rivières
44016000,Autoroute Jean-Noël-Lavoie,Route,musoir d'entrée  de l'aut. 15 nord vers A-440,musoir d'entrée Boul Industriel vers A-440,56.0,29.0,2.0,Laval
2740000500,Rue du Pont (Montée Marois) et chemin de La Macaza,Route,Échangeur de la rue du Pont (montée Marois) sur la route 117,rue de l'Annonciation,53.0,88.0,9.0,Rivière-Rouge
9831003000,,Route,CH. DE L'AEROPORT,CH. THIVIERGE,53.0,63.0,9.0,Bonaventure
8360001000,,Route,route 161,chemin du Quai (83608),53.0,90.0,6.0,Stratford
